car_name,brand,car_model,registration,model_year,transmission,body_type,fuel_type,engine_capacity,kilometers_run,price
Toyota Corsa S 1995,Toyota,Corsa,2001,1995,Automatic,Saloon,"CNG, Octane",1331,120000,382800
Honda Vezel S 2014,Honda,Vezel,2017,2014,Automatic,SUV / 4x4,Octane,1500,28000,2494000
Toyota Aqua S 2016,Toyota,Aqua,2018,2016,Automatic,Hatchback,Hybrid,1500,32190,1612400
Toyota Noah S 2005,Toyota,Noah,2007,2005,Automatic,MPV,Octane,2000,82310,1392000
Toyota Fielder 40 UNNIVERSARY 2004,Toyota,Fielder,2007,2004,Automatic,Estate,"CNG, Octane",1500,98112,1084600
Toyota Land Cruiser VX 1995,Toyota,Land Cruiser,1997,1995,Automatic,SUV / 4x4,"Octane, LPG",4500,85000,2024200
Toyota Prado 2012,Toyota,Prado,2016,2012,Automatic,SUV / 4x4,Octane,2700,31000,7900000
Kia 1994,Kia,Kia,1997,1994,Manual,SUV,Diesel,2400,3085,145000
Toyota Passo 2009,Toyota,Passo,2012,2009,Automatic,Hatchback,Octane,1500,68320,1479000
Toyota Allion G Plus 2014,Toyota,Allion,2019,2014,Automatic,Saloon,Octane,1500,51000,2650000
Mitsubishi Lancer 2010,Mitsubishi,Lancer,2011,2010,Automatic,Saloon,"Octane, LPG",1500,95000,2200000
Honda CR-V Sunroof 2002,Honda,CR-V,2005,2002,Automatic,Hatchback,"CNG, Octane",2000,82000,1073000
Toyota Noah si 2010,Toyota,Noah,2012,2010,Automatic,MPV,"Octane, LPG",2000,53000,2198200
Toyota Premio F 2005,Toyota,Premio,2007,2005,Automatic,Saloon,"CNG, Octane",1500,70000,1682000
Toyota Axio X 2010,Toyota,Axio,2013,2010,Automatic,Saloon,"CNG, Octane",1500,75000,1305000
Mitsubishi Lancer EX 2016,Mitsubishi,Lancer,2017,2016,Automatic,Saloon,Octane,1500,56000,1800000
Nissan Bluebird G EDITION 2005,Nissan,Bluebird,2008,2005,Automatic,Saloon,Octane,1500,75300,1245000
Nissan X-Trail 2016,Nissan,X-Trail,2018,2016,Automatic,SUV / 4x4,Octane,2000,54434,4814000
"Toyota Auris s"" stails 2012",Toyota,Auris,2014,2012,Automatic,Hatchback,Octane,1500,48278,1711000
Toyota Aqua (G) Super Fresh 2013,Toyota,Aqua,2018,2013,Automatic,Hatchback,Hybrid,1500,67000,1380000
Toyota Noah Regius 1998,Toyota,Noah,2000,1998,Automatic,MPV,"CNG, Octane",2500,100000,986000
Toyota Prius 2016,Toyota,Prius,2018,2016,Automatic,Hatchback,Hybrid,1800,900000,3085600
Nissan X-Trail 2016,Nissan,X-Trail,2019,2016,Automatic,SUV / 4x4,"Petrol, Hybrid, Octane",2000,65380,4373200
Suzuki Black 1993,Suzuki,Suzuki,1995,1993,Automatic,SUV / 4x4,"CNG, Octane",1600,72000,533600
Toyota Noah X 2015,Toyota,Noah,2019,2015,Automatic,MPV,"Petrol, Hybrid, Octane",1800,32510,2784000
Toyota Spacio Sunroof & Moonroof 2001,Toyota,Spacio,2003,2001,Automatic,Hatchback,"CNG, Octane",1500,65236,1073000
Toyota Hiace DX AMBULANCE 2016,Toyota,Hiace,2020,2016,Automatic,MPV,"Petrol, Octane",2000,65000,1728400
Toyota Corolla EE111 1998,Toyota,Corolla,2002,1998,Automatic,Saloon,"CNG, Octane",1331,78452,585000
Honda Civic EK3 1994,Honda,Civic,1998,1994,Automatic,Saloon,"CNG, Octane",1498,80000,435000
Nissan Sunny 2008,Nissan,Sunny,2008,2008,Automatic,Saloon,Octane,1300,57674,735000
Toyota Premio F 2017,Toyota,Premio,2019,2017,Automatic,Saloon,Petrol,1500,56000,3248000
Toyota Prado TX Limited 2014,Toyota,Prado,2017,2017,Automatic,SUV / 4x4,Octane,2700,48200,9799000
Toyota Hiace Super GL 1998,Toyota,Hiace,2001,1998,Manual,MPV,"CNG, Octane",2000,78643,603200
Toyota Premio EX 2010,Toyota,Premio,2015,2010,Automatic,Saloon,"CNG, Octane",1500,53000,2169200
Toyota Noah X 2door power 2012,Toyota,Noah,2018,2012,Automatic,MPV,"Petrol, Octane",2000,58000,2280000
Toyota Premio yain colour 2008,Toyota,Premio,2019,2017,Automatic,Saloon,"CNG, Octane",1500,71000,3340000
Toyota Noah Si LPG 2012,Toyota,Noah,2016,2012,Automatic,MPV,"Octane, LPG",2000,78000,2570000
Toyota Fielder 2012,Toyota,Fielder,2015,2012,Automatic,Estate,"CNG, Octane",1500,82000,1473200
Toyota Prius S 2016,Toyota,Prius,2018,2016,Automatic,Hatchback,"Petrol, Hybrid, Octane",1800,21065,2898840
Toyota Prado 2014,Toyota,Prado,2016,2014,Automatic,SUV / 4x4,Petrol,2700,29689,8700000
Toyota Premio F 2009,Toyota,Premio,2010,2009,Automatic,Saloon,"CNG, Octane",1500,65000,1966200
Toyota Corolla AE 110 XE SALOON 1997,Toyota,Corolla,2000,1997,Automatic,Saloon,"CNG, Octane",1500,79000,632200
Toyota Premio F 2005,Toyota,Premio,2018,2015,Automatic,Saloon,"CNG, Octane",1500,95000,2521000
Toyota Noah 2016,Toyota,Noah,2019,2016,Automatic,MPV,"Hybrid, Octane",1800,38450,3190000
Toyota Corolla SUPER FRESH-1500 CC 2004,Toyota,Corolla,2010,2004,Automatic,Saloon,"CNG, Octane",1500,74000,1165000
"Mitsubishi Lancer EX, GLI 2016",Mitsubishi,Lancer,2016,2016,Automatic,Saloon,Octane,1500,48562,1876000
Toyota Carina Myroad 1992,Toyota,Carina,1993,1992,Automatic,Saloon,"CNG, Octane",1500,69000,290000
Toyota Premio Ex 2019,Toyota,Premio,2021,2019,Automatic,Saloon,Octane,1500,6500,4124000
"Toyota Axio W-XB, WINE RED 2018",Toyota,Axio,2022,2018,Automatic,Saloon,Hybrid,1500,57260,3130000
Toyota Allion G 2017,Toyota,Allion,2018,2017,Automatic,Saloon,Octane,1500,47412,3230800
Toyota Wish 2013,Toyota,Wish,2016,2013,Automatic,Estate,Octane,1800,37000,3224800
Toyota Premio F EX 2019,Toyota,Premio,2022,2019,Automatic,Saloon,Octane,1500,17000,4407998.84
Toyota Noah KR42 GL 2005,Toyota,Noah,2009,2005,Automatic,MPV,"CNG, Octane",1800,85000,1200600
Nissan X-Trail 2016,Nissan,X-Trail,2018,2016,Automatic,SUV / 4x4,"Petrol, Hybrid, Octane",2000,53000,4199200
Suzuki Alto Ex 2011,Suzuki,Alto,2014,2011,Automatic,Hatchback,Octane,660,23500,684400
Toyota Esquire G Package 2016,Toyota,Esquire,2021,2016,Automatic,MPV,Octane,1800,55238,3100000
Toyota Prado Super Fresh 2003,Toyota,Prado,2003,2003,Automatic,SUV / 4x4,"CNG, Octane",2700,128000,1580000
Toyota Noah Super Extra Limo 2000,Toyota,Noah,2001,2000,Automatic,MPV,"CNG, Octane",2000,65800,928000
Toyota Premio 2014,Toyota,Premio,2016,2017,Automatic,Saloon,Octane,1500,43000,3342000
Toyota Corolla saloon 2006,Toyota,Corolla,2010,2006,Automatic,Saloon,"CNG, Octane",1500,45000,1287600
Toyota Corolla 2011,Toyota,Corolla,2013,2011,Automatic,Estate,Octane,1500,56000,1682000
Toyota Allion G 2015,Toyota,Allion,2017,2015,Automatic,Saloon,Octane,1500,55000,2656400
BMW 328i . 1995,BMW,328i,2001,1995,Automatic,Saloon,"CNG, Octane",1500,89500,1130000
Audi Q5 Quottro 2011,Audi,Q5,2012,2012,Automatic,SUV / 4x4,"Petrol, Octane",2000,55000,6480000
Toyota Premio G 2008,Toyota,Premio,2010,2008,Automatic,Saloon,Octane,1500,45623,1914000
Toyota Premio F-Ex 2013,Toyota,Premio,2017,2013,Automatic,Saloon,"CNG, Octane",1500,43500,2588200
Toyota Allion A15 2012,Toyota,Allion,2017,2012,Automatic,Saloon,"CNG, Octane",1500,59000,2064800
Toyota Harrier 2014,Toyota,Harrier,2017,2014,Automatic,SUV / 4x4,Octane,2000,46121,5974000
BMW 520d F10 2011,BMW,520d,2011,2011,Automatic,Saloon,Diesel,2000,56703,4970000
Toyota Probox DX 2014,Toyota,Probox,2016,2014,Automatic,Estate,"Petrol, Octane",1500,36420,1450000
Toyota Carina 1994,Toyota,Carina,2003,1999,Automatic,Saloon,"CNG, Octane",1500,136000,458200
Honda Vezel RS Packege 2018,Honda,Vezel,2022,2018,Automatic,SUV / 4x4,"Hybrid, Octane",1500,47048,3190000
BMW X5 . 2015,BMW,X5,2021,2015,Automatic,SUV / 4x4,Octane,2979,60366,7950000
Toyota C-HR G LED 2017,Toyota,C-HR,2021,2017,Automatic,SUV / 4x4,"Petrol, Hybrid, Octane",1800,73500,3712000
Nissan X-Trail 2017,Nissan,X-Trail,2022,2017,Automatic,SUV / 4x4,"Petrol, Hybrid, Octane",2000,48419,4848800
Toyota Prado 2012,Toyota,Prado,2016,2012,Automatic,SUV / 4x4,Octane,2700,31000,7900000
BMW 3 Series 320i 2005,BMW,3 Series,2006,2005,Automatic,Saloon,Octane,2000,61000,1950000
Toyota Axio X 2015,Toyota,Axio,2017,2015,Automatic,Saloon,Hybrid,1500,39089,1751600
Honda Grace 2017,Honda,Grace,2019,2017,Automatic,Saloon,"Hybrid, Octane",1500,28000,3050800
Mitsubishi Lancer 2004,Mitsubishi,Lancer,2004,2004,Automatic,Saloon,Octane,1500,160000,650000
Toyota Sprinter EE 90 1991,Toyota,Sprinter,1993,1991,Manual,Saloon,"CNG, Octane",1300,134000,185600
Toyota Kluger V 2002,Toyota,Kluger,2004,2002,Automatic,SUV / 4x4,"Octane, LPG",2400,70000,1914000
Toyota Passo 2004,Toyota,Passo,2006,2004,Automatic,Hatchback,Octane,1000,684552,632200
BMW 320i 2005,BMW,320i,2007,2005,Automatic,Saloon,Octane,2000,62000,2899998.84
Nissan X-Trail 2009,Nissan,X-Trail,2012,2009,Automatic,SUV / 4x4,Octane,2000,52000,2180800
Toyota Land Cruiser V8 2014,Toyota,Land Cruiser,2017,2014,Automatic,SUV / 4x4,Diesel,4500,37609,17284000
Honda CR-V Sunroof 2002,Honda,CR-V,2005,2002,Automatic,Hatchback,"CNG, Octane",2000,82000,1073000
SsangYong Kyron 2015,SsangYong,Kyron,2017,2016,Automatic,SUV / 4x4,Diesel,2000,17252,2842000
Nissan X-Trail Extremer 2015,Nissan,X-Trail,2018,2015,Automatic,SUV / 4x4,Hybrid,2000,48000,3100000
Toyota Prado TX-LIMITED 2016,Toyota,Prado,2017,2016,Automatic,SUV / 4x4,Octane,2700,47500,11450000
Toyota Corolla RIVIERE 2000,Toyota,Corolla,2002,2000,Automatic,Saloon,"Petrol, CNG, Octane",1500,136000,777200
Toyota Vista 1995,Toyota,Vista,2000,1995,Automatic,Saloon,"CNG, Octane",1800,70000,464000
Toyota Axio X Limited 2011,Toyota,Axio,2016,2011,Automatic,Saloon,"CNG, Octane",1500,65000,1680000
Nissan X-Trail 2014,Nissan,X-Trail,2015,2014,Automatic,SUV / 4x4,"Octane, Other fuel type",2000,102000,4408000
Mitsubishi Lancer . 2002,Mitsubishi,Lancer,2002,2002,Automatic,Saloon,"CNG, Octane",1300,173000,575000
Toyota Premio F 2016,Toyota,Premio,2021,2016,Automatic,Saloon,Octane,1500,76000,3076000
BMW 328i . 1995,BMW,328i,2001,1995,Automatic,Saloon,"CNG, Octane",1500,89500,1130000
Toyota Axio X 2015,Toyota,Axio,2017,2015,Automatic,Saloon,Hybrid,1500,99000,2088000
Toyota Premio 2017,Toyota,Premio,2019,2019,Automatic,Saloon,Octane,1500,36000,3363998.84
Toyota Axio X 2008,Toyota,Axio,2010,2008,Automatic,Saloon,"CNG, Octane",1500,68352,1310800
Honda CR-V Ex 2018,Honda,CR-V,2020,2018,Automatic,SUV / 4x4,Octane,1500,10739,6322000
Toyota Spacio Sunroof & Moonroof 2001,Toyota,Spacio,2003,2001,Automatic,Hatchback,"CNG, Octane",1500,65236,1073000
Toyota Starlet r 1995,Toyota,Starlet,1999,1996,Automatic,Hatchback,Octane,1500,143220,522000
Toyota Succeed ULX 2002,Toyota,Succeed,2003,2002,Automatic,Estate,"CNG, Octane",1500,75000,694840
Toyota Premio 2012,Toyota,Premio,2016,2012,Automatic,Saloon,"CNG, Octane",1500,78952,2064800
SsangYong 2015,SsangYong,SsangYong,2017,2015,Automatic,SUV / 4x4,Diesel,2000,32122,3480000
Toyota RAV4 L 2000,Toyota,RAV4,2003,2000,Automatic,SUV / 4x4,Octane,1800,78000,1496400
Toyota Noah SI 2012,Toyota,Noah,2017,2012,Automatic,MPV,"Octane, LPG",2000,68000,2385000
Toyota Allion Key 2008,Toyota,Allion,2014,2008,Automatic,Saloon,"Octane, LPG",1500,70201,1775000
Honda Vezel S package 2014,Honda,Vezel,2017,2014,Automatic,SUV / 4x4,Octane,1500,36000,2230000
Toyota Corona G 2001,Toyota,Corona,2005,2001,Automatic,Saloon,"CNG, Octane",1600,95000,591600
Nissan Sunny 2003,Nissan,Sunny,2006,2003,Automatic,Saloon,"Octane, LPG",1500,60000,754000
Toyota Noah KR42 2006,Toyota,Noah,2008,2006,Automatic,MPV,"CNG, Octane",1800,81000,1316600
Toyota Vitz 2012,Toyota,Vitz,2016,2012,Automatic,Hatchback,Octane,1300,45000,1392000
Toyota Mark II 1992,Toyota,Mark II,1997,1992,Automatic,Saloon,"CNG, Octane",2000,114000,179800
Toyota Axio x 2009,Toyota,Axio,2011,2009,Automatic,Saloon,Octane,1500,67300,1386200
Honda Vezel 2015,Honda,Vezel,2017,2015,Automatic,SUV / 4x4,Hybrid,1500,47000,2190000
Nissan X-Trail 2017,Nissan,X-Trail,2019,2017,Automatic,SUV / 4x4,"Petrol, Hybrid, Octane",2000,54667,5011200
Honda Civic GS EX SENSING PKG 2018,Honda,Civic,2022,2018,Automatic,Saloon,Octane,1500,24000,3950000
Toyota Noah G 2014,Toyota,Noah,2019,2014,Automatic,MPV,"Hybrid, Octane",1800,80000,2520000
Toyota Premio F 2010,Toyota,Premio,2011,2010,Automatic,Saloon,Octane,1500,112000,2080000
Toyota Prado 2014,Toyota,Prado,2015,2014,Automatic,SUV / 4x4,"Petrol, Octane",2700,24565,8526000
Toyota Dyna pikup 2009,Toyota,Dyna,2010,2009,Automatic,MPV,"CNG, Octane",1500,86764,1415200
Toyota Axio 2008,Toyota,Axio,2013,2008,Automatic,Saloon,"CNG, Octane",1500,70000,1299200
Toyota Voltz 2012,Toyota,Voltz,2015,2012,Automatic,Hatchback,Octane,1000,45855,1368800
Toyota Prius 2016,Toyota,Prius,2018,2016,Automatic,Hatchback,Hybrid,1800,37000,3190000
Honda Grace 2015,Honda,Grace,2019,2015,Automatic,Saloon,"Hybrid, Octane",1500,38000,2320000
Toyota Axio 2016,Toyota,Axio,2017,2016,Automatic,Saloon,"Hybrid, Octane",1500,34560,1879200
Toyota Hiace GL Vvti Low Floor 2003,Toyota,Hiace,2005,2003,Automatic,MPV,"CNG, Octane",2000,274000,591600
Nissan X-Trail 2014,Nissan,X-Trail,2016,2014,Automatic,SUV / 4x4,Octane,2000,43651,3770000
Toyota Alphard 2006,Toyota,Alphard,2010,2008,Automatic,MPV,"Petrol, Octane, Other fuel type",2362,206693,3480000
Nissan Sunny car 1998,Nissan,Sunny,1998,1998,Manual,Saloon,"CNG, Octane",1500,123000,185000
Toyota Corolla G 2005,Toyota,Corolla,2007,2005,Automatic,Saloon,"Petrol, CNG, Octane",1500,98500,1264400
Toyota Prado Octane Drive Sunroof 2007,Toyota,Prado,2008,2007,Automatic,SUV / 4x4,"Petrol, Octane",2700,56659,4720000
Toyota Prius Hybrid 2016,Toyota,Prius,2018,2016,Automatic,Hatchback,"Petrol, Hybrid, Octane, LPG",1800,21549,2726000
Toyota Axio 2015,Toyota,Axio,2018,2015,Automatic,Saloon,"Hybrid, Octane",1500,38172,1763200
Nissan Sunny EX SALOON ALL AUTO 2009,Nissan,Sunny,2009,2009,Manual,Saloon,"Octane, LPG",1300,40000,950000
Toyota Hiace 2009,Toyota,Hiace,2015,2009,Automatic,MPV,"CNG, Octane",2000,81000,1421000
Toyota Premio 2016,Toyota,Premio,2018,2016,Automatic,Saloon,"CNG, Octane",1500,36980,3016000
Mitsubishi Lancer GLX 2006,Mitsubishi,Lancer,2007,2006,Automatic,Saloon,Octane,1500,87000,800000
Toyota Sprinter Vintage 2000,Toyota,Sprinter,2003,2000,Automatic,Saloon,"CNG, Octane",1331,75000,754000
Toyota LiteAce 2001,Toyota,LiteAce,2003,2001,Manual,MPV,CNG,1800,102000,191400
Nissan Sunny G- 2009,Nissan,Sunny,2012,2009,Automatic,Saloon,Octane,1300,74812,951200
Nissan Pathfinder 1992,Nissan,Pathfinder,1995,1992,Automatic,SUV / 4x4,"CNG, Octane",2400,234000,301600
Toyota Harrier 2016,Toyota,Harrier,2018,2016,Automatic,SUV / 4x4,Hybrid,2000,80000,7076000
Toyota Noah X 2013,Toyota,Noah,2018,2013,Automatic,MPV,Octane,2000,75400,2540000
Toyota Axio 2015,Toyota,Axio,2018,2015,Automatic,Saloon,"Hybrid, Octane",1500,36000,1914000
Toyota Axio G 2013,Toyota,Axio,2017,2013,Automatic,Saloon,"CNG, Octane",1500,45300,1676200
Toyota RAV4 G Package 2005,Toyota,RAV4,2010,2005,Automatic,SUV / 4x4,"CNG, Octane",2000,70000,1716800
Toyota Hiace 2016,Toyota,Hiace,2020,2016,Automatic,MPV,"Petrol, Octane",2000,42185,3306000
Toyota Premio F 2007,Toyota,Premio,2009,2007,Automatic,Saloon,"Petrol, CNG, Octane",1500,98500,1728400
Toyota Premio F EX 2016,Toyota,Premio,2019,2016,Automatic,Saloon,"Petrol, Octane",1500,68450,3194600
BMW 3 Series 320i 2005,BMW,3 Series,2005,2005,Automatic,Saloon,Octane,2000,46000,1930000
Toyota Premio F-EX 2017,Toyota,Premio,2021,2017,Automatic,Saloon,Octane,1500,36000,3460000
Toyota Premio FL 2012,Toyota,Premio,2015,2012,Automatic,Saloon,"CNG, Octane",1500,90440,2349000
Nissan Bluebird Sylphy 2005,Nissan,Bluebird,2009,2005,Automatic,Saloon,Octane,1500,69500,885000
Toyota Premio F 2006,Toyota,Premio,2017,2015,Automatic,Saloon,Octane,1500,89000,2525000
Toyota Prado 2012,Toyota,Prado,2015,2012,Automatic,SUV / 4x4,Octane,2700,56000,7760000
Toyota Probox 2003,Toyota,Probox,2008,2007,Automatic,Estate,"CNG, Octane",1500,18000,649600
Toyota Allion G 2018,Toyota,Allion,2023,2018,Automatic,Saloon,Octane,1500,48717,3500000
Toyota Fielder X 2011,Toyota,Fielder,2014,2011,Automatic,Estate,"CNG, Octane",1500,65000,1125200
Honda Vezel S package 2014,Honda,Vezel,2017,2014,Automatic,SUV / 4x4,Octane,1500,36000,2230000
Toyota Fielder X 2006,Toyota,Fielder,2010,2006,Automatic,Estate,"CNG, Octane",1500,55000,1218000
Toyota Starlet Soleil ep82 1995,Toyota,Starlet,1998,1993,Automatic,Hatchback,"CNG, Octane",1300,125855,400200
Toyota X Assista 2003,Toyota,X Assista,2007,2003,Automatic,Saloon,"CNG, Octane",1300,67000,887400
Toyota Premio G Superior 2011,Toyota,Premio,2013,2011,Automatic,Saloon,Octane,1500,62000,2041600
Mitsubishi Lancer GLX 2010,Mitsubishi,Lancer,2010,2010,Automatic,Saloon,"Octane, LPG",1300,127000,1520000
Honda Vezel Non Hybrid 2014,Honda,Vezel,2019,2014,Automatic,SUV / 4x4,Octane,1500,49000,2285000
"Mitsubishi Lancer EX, GLI 2016",Mitsubishi,Lancer,2016,2016,Automatic,Saloon,Octane,1500,48562,1876000
Toyota Premio F 2006,Toyota,Premio,2020,2017,Automatic,Saloon,"CNG, Octane",1500,95000,3545000
Toyota Noah G Pkg 2 Door Auto 2002,Toyota,Noah,2008,2002,Automatic,MPV,"CNG, Octane",1800,75000,1095000
Toyota Axio G 2015,Toyota,Axio,2016,2015,Automatic,Saloon,"Petrol, Octane",1500,55000,2146000
Toyota Prado TXL 2017,Toyota,Prado,2018,2017,Automatic,SUV / 4x4,Octane,2700,33000,12900000
Toyota LiteAce School bus 9 seats 1989,Toyota,LiteAce,1992,1989,Manual,MPV,"CNG, Octane",1300,274000,145000
Toyota Axio X 2016,Toyota,Axio,2019,2016,Automatic,Saloon,"Petrol, Hybrid, Octane",1500,28450,2088000
Kia Sportage 2006,Kia,Sportage,2007,2006,Automatic,SUV / 4x4,Octane,2000,65000,1264400
Toyota Premio F EX 2018,Toyota,Premio,2021,2018,Automatic,Saloon,"Petrol, Octane",1500,39510,3752800
Toyota Axio G 2011,Toyota,Axio,2013,2011,Automatic,Saloon,"Octane, LPG",1500,62000,1519600
Hyundai Sonata 2011,Hyundai,Sonata,2013,2011,Automatic,Saloon,Octane,2000,42312,2262000
Toyota Noah X 2012,Toyota,Noah,2014,2012,Automatic,MPV,"Petrol, CNG, Octane",2000,77000,2633200
Toyota C-HR 2017,Toyota,C-HR,2020,2017,Automatic,SUV / 4x4,"Hybrid, Octane",1800,22000,3770000
Toyota Noah X 2006,Toyota,Noah,2012,2006,Automatic,MPV,"CNG, Octane",2000,97545,1595000
Toyota Fielder WXB 2016,Toyota,Fielder,2017,2016,Automatic,Estate,Hybrid,1500,75000,2540400
Toyota Noah X Non Hybrid 2013,Toyota,Noah,2016,2013,Automatic,MPV,Octane,2000,69000,2395000
Toyota Mark II 1997,Toyota,Mark II,2000,1997,Automatic,Saloon,Octane,1500,55000,986000
Suzuki Swift Vxi 2007,Suzuki,Swift,2009,2007,Manual,Hatchback,Octane,1300,56975,533600
Toyota Premio F-EX 2017,Toyota,Premio,2018,2017,Automatic,Saloon,"CNG, Octane",1500,15000,3444000
Toyota Allion A15~ 2008,Toyota,Allion,2013,2008,Automatic,Saloon,"CNG, Octane",1500,79534,1935000
Toyota Esquire GI 2017,Toyota,Esquire,2022,2017,Automatic,MPV,Octane,2000,48452,3850000
Nissan Sunny 2009,Nissan,Sunny,2009,2009,Automatic,Saloon,Octane,1300,53674,890000
Honda CR-V EX 2021,Honda,CR-V,2022,2021,Automatic,SUV / 4x4,Octane,1500,325,6948400
Toyota Harrier 2018,Toyota,Harrier,2020,2018,Automatic,SUV / 4x4,Hybrid,2000,21000,9164000
Honda Civic GS EX SENSING PKG 2018,Honda,Civic,2020,2018,Automatic,Saloon,Octane,1500,21000,3950000
Toyota Fielder WXB 2015,Toyota,Fielder,2018,2015,Automatic,Estate,"Petrol, Hybrid, Octane",1500,35420,2204000
Toyota Noah ?????? ?? ?????? ??? 2017,Toyota,Noah,2023,2017,Automatic,MPV,"Hybrid, Octane",1800,68169,1825000
Nissan X-Trail 2016,Nissan,X-Trail,2018,2016,Automatic,SUV / 4x4,"Petrol, Hybrid, Octane",2000,62000,4164400
Toyota Premio FL Package 2017,Toyota,Premio,2021,2017,Automatic,Saloon,Octane,1500,45000,3300000
Toyota Premio F 2010,Toyota,Premio,2014,2010,Automatic,Saloon,Octane,1500,65000,2190000
Honda Vezel Non Hybrid 2014,Honda,Vezel,2019,2014,Automatic,SUV / 4x4,Octane,1500,49000,2285000
Suzuki Swift D-ZIRE 2011,Suzuki,Swift,2013,2011,Manual,Saloon,Octane,1300,45000,870000
Toyota C-HR CHR 2017,Toyota,C-HR,2018,2017,Automatic,Saloon,Octane,1331,36500,3317600
Toyota Noah x edition 2004,Toyota,Noah,2006,2004,Automatic,MPV,"Petrol, CNG, Octane",2000,75000,1363000
Toyota Vista 1994,Toyota,Vista,2002,2000,Automatic,Saloon,"CNG, Octane",1800,198000,562600
Nissan X-Trail 2018,Nissan,X-Trail,2020,2018,Automatic,SUV / 4x4,"Hybrid, Octane",2000,21817,4988000
Toyota Axio 2015,Toyota,Axio,2017,2015,Automatic,Saloon,Octane,1500,35000,1020800
Honda Civic EX Leather Package 2013,Honda,Civic,2014,2013,Automatic,Saloon,"Hybrid, Octane",1500,74000,1850000
Toyota Premio F Ex 2017,Toyota,Premio,2018,2017,Automatic,Saloon,Octane,1500,28277,3355400
Toyota Noah Esqure Hybrid 2014,Toyota,Noah,2017,2014,Automatic,MPV,"Hybrid, Octane",1800,48000,2650000
Range Rover 2017,Range Rover,CityRover,2018,2017,Automatic,SUV / 4x4,"Petrol, Octane",2000,90000,8816000
Nissan X-Trail 2011,Nissan,X-Trail,2014,2011,Automatic,SUV / 4x4,Diesel,2000,194000,2465000
BMW 730li Individual 2016,BMW,730i,2017,2016,Automatic,Saloon,Octane,2000,26000,16500000
Toyota Premio 2010,Toyota,Premio,2013,2010,Automatic,Saloon,Octane,1500,72100,2267800
Toyota Hiace super GL silver 2007,Toyota,Hiace,2012,2007,Automatic,MPV,"CNG, Octane",2000,75421,1925000
Toyota Hilux 1997,Toyota,Hilux,2000,1997,Manual,SUV / 4x4,Octane,3400,120000,2204000
BMW 7 Series 730Li Long Wheelbase 2005,BMW,7 Series,2005,2005,Automatic,Saloon,Octane,3000,57344,4430000
Toyota Corsa 1996,Toyota,Corsa,2005,2001,Manual,Saloon,"CNG, Octane",1331,82000,406000
Toyota Fielder AXIO 2011,Toyota,Fielder,2013,2011,Automatic,Estate,"Octane, LPG",1500,65000,1409400
Toyota Probox Dx 2003,Toyota,Probox,2008,2003,Automatic,Estate,"CNG, Octane",1500,85000,725000
Toyota Premio Fl 2016,Toyota,Premio,2018,2016,Automatic,Saloon,Octane,1500,42000,3235200
Honda Vezel RS CRYSTAL BLACK HYB 2018,Honda,Vezel,2023,2018,Automatic,SUV / 4x4,"Hybrid, Octane",1500,40115,3500000
Honda CR-V 2020,Honda,CR-V,2023,2020,Automatic,SUV / 4x4,"Petrol, Octane",1500,509,7192000
Hyundai Accent 2012,Hyundai,Accent,2014,2012,Automatic,Saloon,Octane,1500,54100,1183200
Toyota Noah Non Hybrid 2018,Toyota,Noah,2022,2018,Automatic,MPV,Octane,2000,48300,3850000
Mitsubishi Lancer gray 2015,Mitsubishi,Lancer,2015,2015,Automatic,Saloon,"Octane, LPG",1500,67000,1690000
Toyota Premio F 2010,Toyota,Premio,2014,2010,Automatic,Saloon,"CNG, Octane",1500,67000,2180000
Toyota Axio X Hid 2007,Toyota,Axio,2011,2007,Automatic,Saloon,"CNG, Octane",1500,72500,1270000
Toyota Axio X 2016,Toyota,Axio,2020,2016,Automatic,Saloon,"Petrol, Hybrid, Octane",1500,54946,2134400
Isuzu 1995,Isuzu,Isuzu,1997,1995,Manual,Truck,Petrol,1800,86000,148480
Toyota Corolla 1992,Toyota,Corolla,1995,1992,Automatic,Saloon,"Petrol, CNG, Octane",1500,100000,406000
Toyota Spacio fun cargo HID G 2004,Toyota,Spacio,2007,2004,Automatic,Hatchback,"CNG, Octane",1500,62300,774880
Toyota Corolla BUY& DRIVE CONDITION 2006,Toyota,Corolla,2008,2006,Automatic,Saloon,"CNG, Octane",1500,75000,1295000
Toyota Premio FL.Pkg.Octane. 2008,Toyota,Premio,2013,2008,Automatic,Saloon,"Petrol, Octane",1500,72000,1900000
Toyota Axio X 2016,Toyota,Axio,2018,2016,Automatic,Saloon,"Petrol, Octane",1500,33510,1914000
Nissan Bluebird 2003,Nissan,Bluebird,2005,2003,Automatic,Saloon,"Petrol, CNG",1500,30000,777200
Toyota Premio F 2016,Toyota,Premio,2021,2016,Automatic,Saloon,Octane,1500,76000,3076000
Honda Vezel 2014,Honda,Vezel,2018,2014,Automatic,SUV / 4x4,"Hybrid, Octane",1500,46500,1785000
Toyota Aqua (G) Super Fresh 2013,Toyota,Aqua,2018,2013,Automatic,Hatchback,Hybrid,1500,67000,1380000
Toyota Premio 2015,Toyota,Premio,2017,2017,Automatic,Saloon,Octane,1500,80000,3376800
Toyota Premio F 2016,Toyota,Premio,2022,2016,Automatic,Saloon,"CNG, Octane",1500,45000,3044000
